Waterbody Name,Acres_Mile,Boat Launch Type,Boat Launch Owner,Amenities,Fish Species,Ice Fishing,Comments,Boat Launch Information,Waterbody Information,Contour Map of Waterbody,Special Regulations on Waterbody,County,Longitude,Latitude,Location
Chodikee Lake,60,Hand Launch,DEC,,American Black Bass - Sunfish,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23861.html,http://www.dec.ny.gov/outdoor/58883.html,http://www.dec.ny.gov/docs/fish_marine_pdf/chodlkmap.pdf,http://www.dec.ny.gov/outdoor/31500.html,Ulster,-73.983929706,41.772602376,"(41.772602376, -73.983929706)"
Collins Lake,56,Hand Launch,Municipal,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Northern Pike - Common carp,Ice Fishing Permitted,Electric motors only,,http://www.dec.ny.gov/outdoor/65374.html,http://www.dec.ny.gov/docs/fish_marine_pdf/clnlkmap.pdf,,Schenectady,-73.953519421,42.826670967,"(42.826670967, -73.953519421)"
Copake Lake,410,Trailer Improved,Private,Marina - Boat Rental - Fishing Pier,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/cpklkmap.pdf,,Columbia,-73.595268043,42.143816799,"(42.143816799, -73.595268043)"
Cross River Reservoir,934,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/crresmap.pdf,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.637754318,41.256835238,"(41.256835238, -73.637754318)"
Croton Falls Reservoir,1063,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Yellow Perch - Chain Pickerel - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/70970.html,http://www.dec.ny.gov/docs/fish_marine_pdf/crotresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.666729978,41.372210891,"(41.372210891, -73.666729978)"
Crystal Lake,39,Trailer Unimproved,DEC,,Brook Trout,,Electric motors only,http://www.dec.ny.gov/outdoor/23864.html,http://www.dec.ny.gov/outdoor/61459.html,http://www.dec.ny.gov/docs/fish_marine_pdf/cryslkmap2.pdf,,Sullivan,-75.026268969,41.872747502,"(41.872747502, -75.026268969)"
Diverting Reservoir,154,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Yellow Perch - Black Crappie - Walleye - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/divresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.632138629,41.381474092,"(41.381474092, -73.632138629)"
East Branch Reservoir,553,None,None,,American Black Bass - Walleye - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/70980.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ebraresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.579579601,41.39860913,"(41.39860913, -73.579579601)"
East Sidney Reservoir,190,None,None,Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/eastsidresmap.pdf,,Delaware,-75.217942483,42.326423264,"(42.326423264, -75.217942483)"
Gilbert Lake,41,None,None,Boat Rental - Campsite,Rainbow Trout - Smallmouth Bass - American Black Bass,Ice Fishing Permitted,No motors - OPRHP permit required (Taconic Region 845-889-4100; Palisades Region 845-786-2701; Capital District 518-584-2000),,,http://www.dec.ny.gov/docs/fish_marine_pdf/gilkmap.pdf,http://www.dec.ny.gov/outdoor/31477.html,Otsego,-75.128619691,42.580815556,"(42.580815556, -75.128619691)"
Goodyear Lake,366,Trailer Unimproved,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23876.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/gyrlkmap.pdf,http://www.dec.ny.gov/outdoor/31477.html,Otsego,-74.9830324,42.507810931,"(42.507810931, -74.9830324)"
Long Pond,113,Hand Launch,State Parks (2),Boat Rental,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Capital District 518-584-2000),http://www.dec.ny.gov/outdoor/23874.html,http://www.dec.ny.gov/outdoor/67404.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lngpdmap1.pdf,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,-73.443103147,42.787796508,"(42.787796508, -73.443103147)"
Greens Lake,39,Trailer Unimproved,Municipal,,Brown Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23893.html,,,http://www.dec.ny.gov/outdoor/31450.html,Greene,-73.882017407,42.287230529,"(42.287230529, -73.882017407)"
Greenwood Lake,1920,Trailer Improved,Private,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Muskellunge - Walleye,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/grwdlkmap.pdf,,Orange,-74.309825954,41.198709665,"(41.198709665, -74.309825954)"
Hessian Lake,45,None,None,Boat Rental,American Black Bass,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Taconic Region 845-889-4100; Palisades Region 845-786-2701; Capital District 518-584-2000),,,http://www.dec.ny.gov/docs/fish_marine_pdf/hesslkmap.pdf,http://www.dec.ny.gov/outdoor/31480.html,Rockland,-73.991562418,41.316193758,"(41.316193758, -73.991562418)"
Huggins Lake,19,None,None,,Brook Trout,,Electric motors only,,,http://www.dec.ny.gov/docs/fish_marine_pdf/huglkmap.pdf,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-74.824079585,42.014571742,"(42.014571742, -74.824079585)"
Johnsonville Reservoir,269,Hand Launch,Municipal,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Common carp,Ice Fishing Permitted,,,,,,Rensselear,-73.490870702,42.932518293,"(42.932518293, -73.490870702)"
Kensico Reservoir,2218,None,None,,Brown Trout - Lake Trout - Smallmouth Bass - American Black Bass - Yellow Perch,,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/kensresmap.pdf,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.743989575,41.089348386,"(41.089348386, -73.743989575)"
Kinderhook Lake,350,Hand Launch,DEC,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Common carp,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23902.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/kndrlkmap.pdf,,Columbia,-73.655051503,42.452858135,"(42.452858135, -73.655051503)"
Lake Gilead,121,None,None,,Brown Trout - Rainbow Trout - Lake Trout - American Black Bass - Yellow Perch,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/68042.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkgildmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.675320789,41.398026717,"(41.398026717, -73.675320789)"
Lake Gleneida,185,None,None,,Brown Trout - Rainbow Trout - Lake Trout - American Black Bass - Yellow Perch,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/68047.html,http://www.dec.ny.gov/docs/fish_marine_pdf/lkgleneidamap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.683720377,41.419961412,"(41.419961412, -73.683720377)"
Lake Mahopac,560,Trailer Improved,Private,Marina - Boat Rental,Smallmouth Bass - American Black Bass - Yellow Perch - Black Crappie,Ice Fishing Permitted,No motors,,http://www.dec.ny.gov/outdoor/70965.html,http://www.dec.ny.gov/docs/fish_marine_pdf/maholkmap.pdf,,Putnam,-73.739091569,41.380709409,"(41.380709409, -73.739091569)"
Lake Sebago,294,Hand Launch,OPRHP (State Parks),Boat Rental - Campsite,American Black Bass - Sunfish,Ice Fishing Permitted,Electric motors only - OPRHP permit required ( Palisades Region 845-786-2701),http://www.dec.ny.gov/outdoor/23873.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lksebamap.pdf,,Rockland,-74.135588705,41.1983437,"(41.1983437, -74.135588705)"
Lake Taghkanic,168,Trailer Improved,OPRHP (State Parks),Boat Rental - Campsite,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,Electric motors only - OPRHP permit required (Taconic Region 845-889-4100),http://www.dec.ny.gov/outdoor/23902.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lktgncmap.pdf,,Columbia,-73.709331946,42.090306278,"(42.090306278, -73.709331946)"
Lake Tiorati,294,Hand Launch,OPRHP (State Parks),Boat Rental,American Black Bass - Sunfish - Chain Pickerel,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23879.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lktiormap.pdf,,Orange,-74.090255684,41.266137495,"(41.266137495, -74.090255684)"
Lake Welch,297,Trailer Improved,OPRHP (State Parks),Boat Rental,American Black Bass,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23873.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/lkwlchmap.pdf,,Rockland,-74.076885008,41.229340971,"(41.229340971, -74.076885008)"
Little Pond,13,Trailer Unimproved,DEC,Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - Yellow Perch,Ice Fishing Permitted,No motors - Site includes accessible features,http://www.dec.ny.gov/outdoor/23900.html,,,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-74.747382253,42.040128841,"(42.040128841, -74.747382253)"
Mariaville Lake,197,None,None,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/marlkmap.pdf,,Schenectady,-74.126591921,42.827838747,"(42.827838747, -74.126591921)"
Middle Branch Reservoir,430,None,None,,Smallmouth Bass - American Black Bass - Black Crappie - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/70975.html,http://www.dec.ny.gov/docs/fish_marine_pdf/midresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.643496543,41.40348553,"(41.40348553, -73.643496543)"
Mohansic Lake,102,Trailer Unimproved,OPRHP (State Parks),Boat Rental,American Black Bass - Sunfish - Chain Pickerel,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23856.html,,,,Westchester,-73.809827735,41.277493694,"(41.277493694, -73.809827735)"
Morningside Lake,126,Trailer Improved,Municipal,Boat Rental,Sunfish,Ice Fishing Permitted,Electric motors only,,http://www.dec.ny.gov/outdoor/61519.html,http://www.dec.ny.gov/docs/fish_marine_pdf/mrsdlkmap.pdf,,Sullivan,-74.653252081,41.753234499,"(41.753234499, -74.653252081)"
Muscoot Reservoir,1263,None,None,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.696044982,41.274978213,"(41.274978213, -73.696044982)"
New Croton Reservoir,2304,None,None,,Smallmouth Bass - American Black Bass - Yellow Perch - Common carp,,NYCDEP permit required (1-800-575-LAND),,,,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.792354814,41.23318693,"(41.23318693, -73.792354814)"
North/South Lakes,84,Trailer Unimproved,DEC,Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Black Crappie,Ice Fishing Permitted,No motors - Site includes accessible features,http://www.dec.ny.gov/outdoor/23893.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/nslkmap.pdf,,Greene,-74.043049175,42.19833531,"(42.19833531, -74.043049175)"
Onteora Lake,20,Hand Launch,DEC,Fishing Pier,American Black Bass - Sunfish - Yellow Perch - Black Crappie,,Electric motors only - Site includes accessible features,http://www.dec.ny.gov/outdoor/23861.html,http://www.dec.ny.gov/outdoor/58904.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ontelkmap.pdf,http://www.dec.ny.gov/outdoor/31500.html,Ulster,-74.081347135,41.984585376,"(41.984585376, -74.081347135)"
Otsego Lake,4200,Trailer Improved,DEC,Marina - Boat Rental - Campsite,Brown Trout - Lake Trout - Atlantic salmon - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/otlkmap.pdf,http://www.dec.ny.gov/outdoor/31477.html,Otsego,-74.895031506,42.756198015,"(42.756198015, -74.895031506)"
Pepacton Reservoir,5700,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Yellow Perch - Common carp - Channel Catfish,,No motors,,,http://www.dec.ny.gov/docs/fish_marine_pdf/pepresmap.pdf,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-74.87353477,42.08696272,"(42.08696272, -74.87353477)"
Queechy Lake,141,Hand Launch,DEC,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23902.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/qchylkmap.pdf,http://www.dec.ny.gov/outdoor/31438.html,Columbia,-73.415414375,42.408959603,"(42.408959603, -73.415414375)"
Rio Reservoir,434,Trailer Improved,DEC,,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,,Electric motor only,http://www.dec.ny.gov/outdoor/23864.html,http://www.dec.ny.gov/outdoor/61527.html,http://www.dec.ny.gov/docs/fish_marine_pdf/rioresmap.pdf,,Sullivan,-74.761924612,41.51704193,"(41.51704193, -74.761924612)"
Rockland Lake,280,Hand Launch,OPRHP (State Parks),Boat Rental,American Black Bass - Sunfish - Black Crappie - Common carp,,Electric motors only,http://www.dec.ny.gov/outdoor/23873.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/rkldlkmap.pdf,,Rockland,-73.923128443,41.139501804,"(41.139501804, -73.923128443)"
Rondout Reservoir,2025,None,None,,Brown Trout - Lake Trout - Smallmouth Bass - Yellow Perch - Chain Pickerel,,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/rondresmap.pdf,http://www.dec.ny.gov/outdoor/31500.html,Ulster,-74.47191265,41.825966661,"(41.825966661, -74.47191265)"
Rudd Pond,64,Hand Launch,OPRHP (State Parks),Boat Rental - Campsite,American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23899.html,http://www.dec.ny.gov/outdoor/60937.html,http://www.dec.ny.gov/docs/fish_marine_pdf/ruddpdmap.pdf,,Dutchess,-73.505299213,41.97754543,"(41.97754543, -73.505299213)"
Schaghticoke Reservoir,147,Hand Launch,Municipal,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,Ice Fishing Permitted,,,,http://www.dec.ny.gov/docs/fish_marine_pdf/shagresmap.pdf,,Rensselear,-73.583634849,42.893297015,"(42.893297015, -73.583634849)"
Schoharie Reservoir,1150,None,None,,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,,No motors,,,http://www.dec.ny.gov/docs/fish_marine_pdf/scoresmap.pdf,http://www.dec.ny.gov/outdoor/31490.html,Schoharie,-74.441218966,42.366261481,"(42.366261481, -74.441218966)"
Silvermine Lake,84,Hand Launch,OPRHP (State Parks),,American Black Bass,Ice Fishing Permitted,Electric motors only,http://www.dec.ny.gov/outdoor/23879.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/sminlkmap.pdf,,Orange,-74.054652102,41.291328436,"(41.291328436, -74.054652102)"
Stissing Pond,73,Trailer Unimproved,Private,,American Black Bass - Sunfish - Yellow Perch - Chain Pickerel,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/60924.html,http://www.dec.ny.gov/docs/fish_marine_pdf/stispdmap.pdf,,Dutchess,-73.673221663,41.971766157,"(41.971766157, -73.673221663)"
Swinging Bridge Reservoir,886,Trailer Improved,Private,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Walleye - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/61533.html,http://www.dec.ny.gov/docs/fish_marine_pdf/sbriresmap.pdf,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,-74.784119016,41.612919212,"(41.612919212, -74.784119016)"
Sylvan Lake,115,None,None,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Chain Pickerel,Ice Fishing Permitted,Electric motors only,,http://www.dec.ny.gov/outdoor/60854.html,http://www.dec.ny.gov/docs/fish_marine_pdf/sylvnlkmap.pdf,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,-73.741429671,41.608965389,"(41.608965389, -73.741429671)"
Thompsons Lake,120,Trailer Unimproved,DEC,Boat Rental - Campsite,Brown Trout - Rainbow Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,15 horesepower restriction,http://www.dec.ny.gov/outdoor/23912.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/thmpslkmap.pdf,,Albany,-74.042701841,42.648428502,"(42.648428502, -74.042701841)"
Titicus Reservoir,725,None,None,,Brown Trout - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,Ice Fishing Permitted,NYCDEP permit required (1-800-575-LAND),,,http://www.dec.ny.gov/docs/fish_marine_pdf/titiresmap.pdf,http://www.dec.ny.gov/outdoor/31504.html,Westchester,-73.628144232,41.331600669,"(41.331600669, -73.628144232)"
Tomhannock Reservoir,1700,None,None,,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,Shorefishing only - P(T) = City of Troy permit required (518-279-7134),,,http://www.dec.ny.gov/docs/fish_marine_pdf/tomresmap.pdf,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,-73.549109097,42.845969407,"(42.845969407, -73.549109097)"
Trout Pond,26,None,None,Campsite,Brook Trout,,No motors,,,,http://www.dec.ny.gov/outdoor/31440.html,Delaware,-74.944695182,42.009059726,"(42.009059726, -74.944695182)"
Upton Lake,32,Hand Launch,Private,,Brown Trout - American Black Bass - Sunfish,Ice Fishing Permitted,Electric motors only,,http://www.dec.ny.gov/outdoor/60944.html,http://www.dec.ny.gov/docs/fish_marine_pdf/uptolkmap.pdf,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,-73.753158468,41.846945599,"(41.846945599, -73.753158468)"
Vlaie Pond,192,Trailer Unimproved,DEC,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Common carp,Ice Fishing Permitted,Electric motors only,,,,,Schoharie,-74.304283273,42.530127334,"(42.530127334, -74.304283273)"
Walton Lake,120,Hand Launch,DEC,,Brown Trout - Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23879.html,,http://www.dec.ny.gov/docs/fish_marine_pdf/waltlkmap.pdf,http://www.dec.ny.gov/outdoor/31474.html,Orange,-74.222905877,41.306880098,"(41.306880098, -74.222905877)"
Wappinger Lake,75,Trailer Improved,Municipal,Boat Rental,Smallmouth Bass - American Black Bass - Sunfish - Yellow Perch - Black Crappie - Common carp,Ice Fishing Permitted,,,http://www.dec.ny.gov/outdoor/60950.html,http://www.dec.ny.gov/docs/fish_marine_pdf/wapplkmap.pdf,,Dutchess,-73.917386823,41.605260055,"(41.605260055, -73.917386823)"
West Branch Reservoir,999,None,None,,Brown Trout - Atlantic salmon - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Common carp,,NYCDEP permit required (1-800-575-LAND),,http://www.dec.ny.gov/outdoor/70960.html,http://www.dec.ny.gov/docs/fish_marine_pdf/wbraresmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.7027673,41.424578841,"(41.424578841, -73.7027673)"
White Lake,238,Trailer Improved,DEC,Marina - Boat Rental,American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Common carp,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23864.html,http://www.dec.ny.gov/outdoor/61560.html,http://www.dec.ny.gov/docs/fish_marine_pdf/whitlk2map.pdf,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,-74.836072127,41.684854385,"(41.684854385, -74.836072127)"
White Pond,123,Trailer Unimproved,DEC,Fishing Pier,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel - Walleye,Ice Fishing Permitted,Electric motors only - Site includes accessible features,http://www.dec.ny.gov/outdoor/23875.html,http://www.dec.ny.gov/outdoor/68052.html,http://www.dec.ny.gov/docs/fish_marine_pdf/whitpdmap.pdf,http://www.dec.ny.gov/outdoor/31478.html,Putnam,-73.723861828,41.500520894,"(41.500520894, -73.723861828)"
Argyle Lake,25,None,None,,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch,,Shore fishing only,,http://www.dec.ny.gov/outdoor/24148.html,,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.32935398,40.697321824,"(40.697321824, -73.32935398)"
Artist Lake,30,Trailer Unimproved,Municipal,,American Black Bass - Sunfish - Yellow Perch - Black Crappie - Chain Pickerel,Ice Fishing Permitted,,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24149.html,http://www.dec.ny.gov/docs/fish_marine_pdf/artistlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-72.931714641,40.883716512,"(40.883716512, -72.931714641)"
Baisley Pond,28,None,None,,American Black Bass - Sunfish - Black Crappie - Common carp,,Shore fishing only,,http://www.dec.ny.gov/outdoor/62986.html,,http://www.dec.ny.gov/outdoor/31469.html,Queens,-73.785559412,40.677559448,"(40.677559448, -73.785559412)"
Belmont Lake,19,Hand Launch,OPRHP (State Parks),Boat Rental,Brown Trout - Rainbow Trout - American Black Bass - Sunfish - Yellow Perch - Chain Pickerel - Common carp,,Parking fee,http://www.dec.ny.gov/outdoor/23865.html,http://www.dec.ny.gov/outdoor/24151.html,http://www.dec.ny.gov/docs/fish_marine_pdf/blmtlkmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-73.342512742,40.735237558,"(40.735237558, -73.342512742)"
Big Reed Pond,45,None,None,Campsite,American Black Bass - Sunfish,Ice Fishing Permitted,Suffolk County permit required (631-854-4949) - electric motors only,,http://www.dec.ny.gov/outdoor/24153.html,http://www.dec.ny.gov/docs/fish_marine_pdf/bredpdmap.pdf,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,-71.910136608,41.078087234,"(41.078087234, -71.910136608)"
